time,CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4
7.99,67,-681,-753,297
8,69,-694,-767,303
8.01,66,-711,-782,313
8.02,67,-712,-783,313
8.03,70,-718,-792,315
8.04,73,-720,-798,315
8.05,71,-727,-802,319
8.06,77,-719,-800,312
8.07,81,-722,-806,311
8.08,79,-744,-827,323
8.09,82,-740,-825,320
8.1,88,-738,-829,316
8.11,90,-756,-849,324
8.12,80,-738,-822,320
8.13,85,-729,-818,313
8.14,92,-747,-844,318
8.15,86,-723,-813,309
8.16,86,-718,-808,306
8.17,91,-729,-824,310
8.18,92,-730,-826,310
8.19,90,-738,-831,315
8.2,94,-743,-840,315
8.21,99,-737,-839,309
8.22,103,-703,-810,291
8.23,111,-687,-801,278
8.24,110,-662,-775,267
8.25,113,-637,-752,252
8.26,126,-623,-751,238
8.27,142,-569,-714,204
8.28,158,-533,-694,178
8.29,157,-545,-706,184
8.3,160,-574,-737,198
8.31,146,-659,-809,247
8.32,94,-755,-853,321
8.33,79,-791,-874,346
8.34,89,-805,-897,348
8.35,91,-816,-910,352
8.36,96,-818,-917,352
8.37,92,-822,-916,356
8.38,95,-797,-895,342
8.39,99,-786,-888,334
8.4,99,-787,-889,335
8.41,100,-771,-873,326
8.42,72,-717,-793,313
8.43,165,-652,-820,233
8.44,503,-258,-761,-133
8.45,704,-1,-709,-362
8.46,406,-622,-1033,99
8.47,42,-1054,-1100,498
8.48,17,-1052,-1071,509
8.49,92,-988,-1081,439
8.5,113,-832,-948,350
8.51,110,-755,-867,313
8.52,103,-738,-844,308
8.53,111,-738,-851,304
8.54,119,-711,-833,287
8.55,118,-698,-818,281
8.56,125,-694,-820,275
8.57,128,-677,-808,265
8.58,129,-655,-786,253
8.59,140,-643,-784,242
8.6,140,-625,-768,233
8.61,141,-606,-750,223
8.62,143,-600,-745,219
8.63,151,-594,-747,212
8.64,157,-574,-732,198
8.65,172,-550,-723,180
8.66,194,-526,-722,156
8.67,211,-491,-704,130
8.68,232,-423,-658,85
8.69,253,-381,-636,54
8.7,280,-354,-637,27
8.71,299,-305,-607,-8
8.72,310,-272,-586,-29
8.73,325,-251,-579,-47
8.74,323,-254,-579,-44
8.75,300,-271,-575,-25
8.76,259,-295,-557,8
8.77,205,-349,-555,62
8.78,146,-413,-562,124
8.79,97,-462,-561,173
8.8,66,-497,-564,206
8.81,41,-541,-583,240
8.82,31,-567,-599,258
8.83,28,-576,-605,265
8.84,26,-574,-602,264
8.85,29,-581,-613,265
8.86,33,-593,-628,270
8.87,36,-569,-606,257
8.88,41,-555,-597,247
8.89,47,-538,-587,236
8.9,47,-503,-552,218
8.91,52,-491,-545,210
8.92,55,-497,-553,211
8.93,53,-486,-541,206
8.94,54,-465,-521,196
8.95,56,-447,-505,185
8.96,59,-447,-507,185
8.97,51,-450,-503,190
8.98,48,-434,-484,183
8.99,55,-418,-476,172
9,58,-404,-464,162
9.01,53,-408,-462,168
9.02,46,-415,-463,175
9.03,50,-392,-444,161
9.04,54,-392,-449,159
9.05,52,-399,-453,164
9.06,45,-360,-409,148
9.07,43,-357,-402,148
9.08,43,-364,-410,151
